product_id,avg_daily_demand,lead_time,reorder_point,current_stock,stock_status
4807,1.0,6,6.0,39,Stock OK
4808,1.0,8,8.0,10,Stock OK
4809,1.8888888888888888,9,17.0,24,Stock OK
4810,1.125,10,11.2,1,Reorder Needed
4817,1.0,9,9.0,25,Stock OK
4819,1.0,10,10.0,28,Stock OK
4820,2.5357142857142856,8,20.3,36,Stock OK
4829,1.5,9,13.5,18,Stock OK
4831,1.0,6,6.0,6,Stock OK
4834,1.0,3,3.0,2,Reorder Needed
4841,5.7,8,45.6,3,Reorder Needed
4852,1.3571428571428572,10,13.6,46,Stock OK
4853,1.1818181818181819,7,8.3,8,Reorder Needed
4854,1.1428571428571428,10,11.4,31,Stock OK
4865,1.0,7,7.0,48,Stock OK
4870,1.4166666666666667,4,5.7,19,Stock OK
4874,1.3846153846153846,9,12.5,50,Stock OK
4879,1.55,7,10.8,6,Reorder Needed
4886,1.0,10,10.0,14,Stock OK
4894,1.2857142857142858,4,5.1,3,Reorder Needed
4895,1.2307692307692308,3,3.7,48,Stock OK
4901,1.5263157894736843,6,9.2,1,Reorder Needed
4902,1.1666666666666667,6,7.0,44,Stock OK
4903,1.0,6,6.0,30,Stock OK
4905,2.0476190476190474,7,14.3,46,Stock OK
4914,1.4615384615384615,3,4.4,19,Stock OK
4915,1.0,7,7.0,19,Stock OK
4922,2.2,9,19.8,9,Reorder Needed
4923,1.0,7,7.0,7,Stock OK
4931,1.2941176470588236,3,3.9,46,Stock OK
4936,1.3333333333333333,3,4.0,37,Stock OK
4938,6.806451612903226,9,61.3,50,Reorder Needed
4940,1.4285714285714286,3,4.3,41,Stock OK
4942,1.0,10,10.0,7,Reorder Needed
4950,1.0,3,3.0,9,Stock OK
4958,6.133333333333334,6,36.8,4,Reorder Needed
4959,1.0,10,10.0,25,Stock OK
4961,1.411764705882353,10,14.1,49,Stock OK
4962,1.125,9,10.1,12,Stock OK
4964,1.25,5,6.2,6,Reorder Needed
4967,1.6818181818181819,5,8.4,18,Stock OK
4969,1.4666666666666666,3,4.4,40,Stock OK
4972,1.5,10,15.0,21,Stock OK
4975,1.0,5,5.0,15,Stock OK
4977,1.7727272727272727,5,8.9,3,Reorder Needed
4985,1.9565217391304348,3,5.9,2,Reorder Needed
4986,1.0,5,5.0,41,Stock OK
4996,1.0,7,7.0,40,Stock OK
4997,1.25,4,5.0,4,Reorder Needed
5001,1.8,9,16.2,32,Stock OK
5006,1.0,4,4.0,2,Reorder Needed
5007,1.0,3,3.0,46,Stock OK
5013,9.483870967741936,6,56.9,29,Reorder Needed
5020,1.2142857142857142,9,10.9,2,Reorder Needed
5022,2.9310344827586206,3,8.8,34,Stock OK
5023,1.4615384615384615,10,14.6,27,Stock OK
5024,1.3,6,7.8,39,Stock OK
5025,1.0,4,4.0,44,Stock OK
5028,1.1,3,3.3,38,Stock OK
5031,1.0,10,10.0,18,Stock OK
5032,2.3043478260869565,9,20.7,36,Stock OK
5037,1.5,9,13.5,19,Stock OK
5041,3.142857142857143,8,25.1,27,Stock OK
5067,1.2,10,12.0,45,Stock OK
5143,2.269230769230769,7,15.9,20,Stock OK
5148,1.6818181818181819,5,8.4,21,Stock OK
5157,2.230769230769231,6,13.4,23,Stock OK
5166,1.2666666666666666,10,12.7,30,Stock OK
5170,1.8076923076923077,8,14.5,25,Stock OK
5212,1.2,5,6.0,31,Stock OK
5228,1.75,5,8.8,27,Stock OK
5240,1.8,3,5.4,34,Stock OK
5256,1.0,5,5.0,8,Stock OK
5259,1.2352941176470589,7,8.6,19,Stock OK
5261,2.1923076923076925,9,19.7,41,Stock OK
5265,1.0,8,8.0,26,Stock OK
5275,1.625,5,8.1,28,Stock OK
5276,1.5,3,4.5,4,Reorder Needed
5288,1.4166666666666667,7,9.9,31,Stock OK
5289,1.5714285714285714,4,6.3,16,Stock OK
5290,1.0,9,9.0,10,Stock OK
5302,1.0,9,9.0,38,Stock OK
5304,17.70967741935484,8,141.7,48,Reorder Needed
5308,1.3333333333333333,9,12.0,10,Reorder Needed
5310,2.0,5,10.0,45,Stock OK
5312,1.375,3,4.1,9,Stock OK
5313,2.5,9,22.5,39,Stock OK
5321,1.4,9,12.6,36,Stock OK
5322,1.8333333333333333,4,7.3,36,Stock OK
5325,1.25,4,5.0,19,Stock OK
5329,1.0,6,6.0,19,Stock OK
5333,1.0,7,7.0,12,Stock OK
5335,3.25,5,16.2,13,Reorder Needed
5339,1.1818181818181819,9,10.6,25,Stock OK
5342,1.25,10,12.5,36,Stock OK
5343,1.0,9,9.0,25,Stock OK
5345,1.2857142857142858,3,3.9,28,Stock OK
5348,1.0,6,6.0,42,Stock OK
5353,1.85,7,13.0,39,Stock OK
5359,1.4285714285714286,10,14.3,30,Stock OK
5367,1.3333333333333333,6,8.0,5,Reorder Needed
5370,1.1818181818181819,8,9.5,17,Stock OK
5371,1.2857142857142858,7,9.0,18,Stock OK
5372,1.3529411764705883,9,12.2,43,Stock OK
5374,1.0,9,9.0,47,Stock OK
5375,3.6451612903225805,7,25.5,21,Reorder Needed
5378,1.4375,9,12.9,22,Stock OK
5379,1.0,5,5.0,39,Stock OK
5381,1.0,7,7.0,50,Stock OK
5385,1.3529411764705883,6,8.1,6,Reorder Needed
5386,1.5263157894736843,7,10.7,50,Stock OK
5393,1.0,10,10.0,16,Stock OK
5395,1.2,9,10.8,2,Reorder Needed
5396,1.0,5,5.0,1,Reorder Needed
5405,1.1538461538461537,5,5.8,30,Stock OK
5408,1.7142857142857142,8,13.7,43,Stock OK
5412,1.7222222222222223,6,10.3,37,Stock OK
5413,1.3333333333333333,4,5.3,48,Stock OK
5415,1.3333333333333333,4,5.3,23,Stock OK
5461,1.4615384615384615,7,10.2,1,Reorder Needed
5463,4.258064516129032,8,34.1,19,Reorder Needed
5464,1.0,3,3.0,46,Stock OK
5465,1.5333333333333334,7,10.7,3,Reorder Needed
5466,2.6666666666666665,8,21.3,2,Reorder Needed
5467,1.6666666666666667,6,10.0,37,Stock OK
5474,1.0,6,6.0,17,Stock OK
5480,1.0,6,6.0,28,Stock OK
5481,1.3333333333333333,6,8.0,18,Stock OK
5482,1.0,6,6.0,33,Stock OK
5489,1.0,8,8.0,15,Stock OK
5491,1.0,8,8.0,22,Stock OK
5498,1.0,5,5.0,41,Stock OK
5506,1.1666666666666667,10,11.7,27,Stock OK
5508,1.0,4,4.0,37,Stock OK
5521,1.0,9,9.0,32,Stock OK
5524,1.7142857142857142,6,10.3,45,Stock OK
5525,1.5,3,4.5,19,Stock OK
5526,4.516129032258065,9,40.6,28,Reorder Needed
5527,1.25,8,10.0,28,Stock OK
5528,1.3,3,3.9,10,Stock OK
5529,1.2222222222222223,3,3.7,20,Stock OK
5530,1.1111111111111112,3,3.3,25,Stock OK
5531,1.1111111111111112,5,5.6,21,Stock OK
5532,3.5,8,28.0,14,Reorder Needed
5533,1.125,3,3.4,22,Stock OK
5534,1.0,6,6.0,26,Stock OK
5535,1.0,7,7.0,44,Stock OK
5536,1.0,3,3.0,11,Stock OK
5539,1.0,5,5.0,7,Stock OK
5540,1.0,9,9.0,17,Stock OK
5542,1.7222222222222223,8,13.8,18,Stock OK
5543,1.1538461538461537,10,11.5,7,Reorder Needed
5546,1.2857142857142858,5,6.4,20,Stock OK
5547,1.5,3,4.5,38,Stock OK
5548,1.0,8,8.0,11,Stock OK
5551,1.0,7,7.0,44,Stock OK
5552,1.375,3,4.1,16,Stock OK
5572,1.5384615384615385,5,7.7,27,Stock OK
5579,1.0,4,4.0,11,Stock OK
5581,2.0,6,12.0,16,Stock OK
5584,1.0,10,10.0,23,Stock OK
5587,1.4230769230769231,9,12.8,12,Reorder Needed
5588,1.619047619047619,5,8.1,40,Stock OK
5589,1.6111111111111112,8,12.9,3,Reorder Needed
5689,1.0,10,10.0,2,Reorder Needed
5916,1.1428571428571428,10,11.4,38,Stock OK
5918,1.0,10,10.0,48,Stock OK
5921,1.5,3,4.5,24,Stock OK
5922,1.3333333333333333,6,8.0,29,Stock OK
5923,1.368421052631579,3,4.1,47,Stock OK
5925,1.0,8,8.0,46,Stock OK
5926,1.4444444444444444,3,4.3,34,Stock OK
5929,1.0,4,4.0,20,Stock OK
5930,1.2222222222222223,6,7.3,18,Stock OK
5931,1.0,6,6.0,14,Stock OK
5937,1.6666666666666667,8,13.3,18,Stock OK
5938,1.0,9,9.0,2,Reorder Needed
5939,1.9,4,7.6,1,Reorder Needed
5940,1.0,5,5.0,20,Stock OK
5941,1.0,3,3.0,34,Stock OK
5943,1.0,7,7.0,41,Stock OK
5947,1.0,3,3.0,41,Stock OK
5950,1.0,10,10.0,48,Stock OK
5953,2.08,3,6.2,11,Stock OK
5954,1.0,5,5.0,27,Stock OK
5956,1.1666666666666667,3,3.5,23,Stock OK
5957,2.0476190476190474,4,8.2,38,Stock OK
5980,1.1818181818181819,4,4.7,44,Stock OK
6174,2.8076923076923075,6,16.8,3,Reorder Needed
6175,2.347826086956522,8,18.8,12,Reorder Needed
6177,1.0,9,9.0,30,Stock OK
6178,1.625,7,11.4,31,Stock OK
6179,1.0,10,10.0,23,Stock OK
6185,1.0,3,3.0,1,Reorder Needed
6186,1.1666666666666667,3,3.5,41,Stock OK
6187,1.0,5,5.0,20,Stock OK
6192,1.1818181818181819,8,9.5,6,Reorder Needed
6195,1.1,4,4.4,11,Stock OK
6198,1.0,7,7.0,35,Stock OK
6199,1.4,6,8.4,4,Reorder Needed
6210,1.2222222222222223,4,4.9,29,Stock OK
6221,1.25,10,12.5,10,Reorder Needed
6222,1.0,8,8.0,29,Stock OK
6223,1.0,10,10.0,38,Stock OK
6225,1.0,9,9.0,1,Reorder Needed
6226,1.0,6,6.0,40,Stock OK
6228,1.0,9,9.0,8,Reorder Needed
6230,1.0,5,5.0,38,Stock OK
6232,1.25,10,12.5,17,Stock OK
6237,1.0,5,5.0,19,Stock OK
6238,1.0,3,3.0,33,Stock OK
6256,1.0,9,9.0,15,Stock OK
6313,1.0,8,8.0,45,Stock OK
6326,1.0,10,10.0,31,Stock OK
6346,1.0,7,7.0,21,Stock OK
6365,1.0,6,6.0,3,Reorder Needed
6375,1.0,4,4.0,2,Reorder Needed
6412,1.0,8,8.0,35,Stock OK
6414,1.3333333333333333,8,10.7,41,Stock OK
6458,1.0,5,5.0,16,Stock OK
6460,1.5,9,13.5,45,Stock OK
6493,1.0,10,10.0,50,Stock OK
6495,1.2857142857142858,10,12.9,21,Stock OK
6498,1.1666666666666667,3,3.5,12,Stock OK
6499,1.1818181818181819,3,3.5,28,Stock OK
6500,1.7692307692307692,6,10.6,12,Stock OK
6501,1.375,5,6.9,33,Stock OK
6506,1.4375,8,11.5,20,Stock OK
6534,1.0,10,10.0,40,Stock OK
6537,1.0,7,7.0,49,Stock OK
6538,1.0,5,5.0,21,Stock OK
6541,1.0,6,6.0,39,Stock OK
6545,1.0,6,6.0,41,Stock OK
6555,1.0,5,5.0,49,Stock OK
6563,1.0,6,6.0,42,Stock OK
6586,1.0,5,5.0,36,Stock OK
6587,1.0,4,4.0,22,Stock OK
6601,1.0,5,5.0,26,Stock OK
6625,1.7619047619047619,9,15.9,7,Reorder Needed
6626,1.1111111111111112,5,5.6,7,Stock OK
6627,1.3333333333333333,6,8.0,8,Stock OK
6642,1.6,10,16.0,26,Stock OK
6645,1.0,9,9.0,24,Stock OK
6647,1.3333333333333333,6,8.0,24,Stock OK
6648,1.0,3,3.0,40,Stock OK
6649,1.1666666666666667,3,3.5,48,Stock OK
6650,1.0,10,10.0,12,Stock OK
6651,1.0,10,10.0,47,Stock OK
6652,1.0,9,9.0,8,Reorder Needed
6691,1.2857142857142858,4,5.1,9,Stock OK
6730,4.1,10,41.0,3,Reorder Needed
6731,1.625,3,4.9,21,Stock OK
6732,1.1764705882352942,5,5.9,31,Stock OK
6733,1.0,6,6.0,48,Stock OK
6734,1.0,3,3.0,47,Stock OK
6735,1.3333333333333333,3,4.0,24,Stock OK
6736,1.2307692307692308,4,4.9,4,Reorder Needed
6737,2.227272727272727,9,20.0,20,Stock OK
6801,1.0,9,9.0,16,Stock OK
6817,2.25,8,18.0,10,Reorder Needed
6818,1.7647058823529411,4,7.1,43,Stock OK
6819,1.5,5,7.5,26,Stock OK
6845,2.0454545454545454,9,18.4,29,Stock OK
6846,1.5238095238095237,6,9.1,5,Reorder Needed
6901,1.0714285714285714,10,10.7,11,Stock OK
6902,1.0,4,4.0,29,Stock OK
6905,1.3333333333333333,10,13.3,45,Stock OK
6936,1.5294117647058822,3,4.6,15,Stock OK
6938,3.793103448275862,6,22.8,6,Reorder Needed
6939,1.4166666666666667,6,8.5,48,Stock OK
6940,1.8695652173913044,3,5.6,15,Stock OK
6941,3.1785714285714284,4,12.7,43,Stock OK
6942,1.9047619047619047,3,5.7,20,Stock OK
6943,1.5555555555555556,10,15.6,34,Stock OK
6944,1.1538461538461537,8,9.2,2,Reorder Needed
6945,1.0,6,6.0,44,Stock OK
6946,1.25,7,8.8,16,Stock OK
6947,1.0,7,7.0,19,Stock OK
6948,1.1428571428571428,10,11.4,34,Stock OK
6950,1.375,5,6.9,49,Stock OK
6951,1.0,9,9.0,14,Stock OK
6963,1.2,3,3.6,24,Stock OK
6972,1.25,3,3.8,28,Stock OK
6977,1.25,5,6.2,48,Stock OK
6978,2.142857142857143,5,10.7,32,Stock OK
6979,1.0,10,10.0,37,Stock OK
6991,1.0,10,10.0,10,Stock OK
6992,1.0,5,5.0,49,Stock OK
7500,1.0,6,6.0,45,Stock OK
7527,1.625,10,16.2,48,Stock OK
7652,1.7307692307692308,8,13.8,9,Reorder Needed
7662,1.1,10,11.0,24,Stock OK
7663,1.0,3,3.0,36,Stock OK
7679,1.8095238095238095,10,18.1,29,Stock OK
7680,2.0,6,12.0,29,Stock OK
7681,4.233333333333333,5,21.2,48,Stock OK
7698,1.2222222222222223,3,3.7,23,Stock OK
7701,1.0,10,10.0,27,Stock OK
7703,1.0,6,6.0,31,Stock OK
7704,1.0,8,8.0,43,Stock OK
7705,1.0,10,10.0,7,Reorder Needed
7785,1.0,6,6.0,49,Stock OK
7789,1.0,8,8.0,45,Stock OK
7890,1.2222222222222223,5,6.1,4,Reorder Needed
7891,1.0666666666666667,10,10.7,14,Stock OK
8004,1.0,8,8.0,42,Stock OK
8008,1.0,3,3.0,42,Stock OK
8030,1.25,5,6.2,10,Stock OK
8071,1.6,3,4.8,44,Stock OK
8072,1.6,7,11.2,34,Stock OK
8081,1.0,4,4.0,26,Stock OK
8084,1.3333333333333333,10,13.3,23,Stock OK
8098,3.0,8,24.0,9,Reorder Needed
8107,1.1111111111111112,4,4.4,37,Stock OK
8109,1.2222222222222223,4,4.9,8,Stock OK
8110,1.0,8,8.0,14,Stock OK
8111,1.2,5,6.0,7,Stock OK
8112,1.0,10,10.0,7,Reorder Needed
8118,1.0,7,7.0,9,Stock OK
8122,1.1428571428571428,3,3.4,3,Reorder Needed
8125,1.0,6,6.0,14,Stock OK
8126,1.25,3,3.8,17,Stock OK
8127,1.0,6,6.0,50,Stock OK
8128,1.1428571428571428,3,3.4,44,Stock OK
8129,1.0,8,8.0,22,Stock OK
8131,1.0,7,7.0,46,Stock OK
8135,1.0,10,10.0,26,Stock OK
8140,1.2,6,7.2,28,Stock OK
8141,1.6,10,16.0,45,Stock OK
8142,1.3333333333333333,10,13.3,14,Stock OK
8144,1.2,10,12.0,9,Reorder Needed
8147,1.0,9,9.0,26,Stock OK
8148,1.0,5,5.0,2,Reorder Needed
8151,1.0,3,3.0,11,Stock OK
8153,1.0,10,10.0,17,Stock OK
8155,1.0,3,3.0,34,Stock OK
8157,1.0,10,10.0,19,Stock OK
8158,1.0,6,6.0,39,Stock OK
8193,1.0,5,5.0,18,Stock OK
8199,1.0,5,5.0,13,Stock OK
8200,2.2666666666666666,8,18.1,5,Reorder Needed
8203,1.0,9,9.0,50,Stock OK
8226,1.0,8,8.0,23,Stock OK
8247,1.0,8,8.0,24,Stock OK
8372,1.25,8,10.0,29,Stock OK
8379,1.0,8,8.0,48,Stock OK
8381,1.2857142857142858,8,10.3,47,Stock OK
8382,1.1666666666666667,7,8.2,8,Reorder Needed
8387,1.0,5,5.0,26,Stock OK
8388,1.25,8,10.0,15,Stock OK
8389,1.1666666666666667,10,11.7,1,Reorder Needed
8391,1.0,5,5.0,28,Stock OK
8392,1.0,5,5.0,49,Stock OK
8394,1.1428571428571428,4,4.6,47,Stock OK
8395,1.0,7,7.0,46,Stock OK
8398,1.0,8,8.0,14,Stock OK
8413,1.0,3,3.0,42,Stock OK
8415,1.0,6,6.0,34,Stock OK
8694,1.0,9,9.0,31,Stock OK
8695,1.0,10,10.0,6,Reorder Needed
8696,1.1666666666666667,3,3.5,49,Stock OK
8698,1.0,7,7.0,5,Reorder Needed
8699,1.0,6,6.0,31,Stock OK
8700,1.3,7,9.1,37,Stock OK
8701,1.0,10,10.0,15,Stock OK
8702,1.0,5,5.0,15,Stock OK
8703,1.1,6,6.6,43,Stock OK
8704,1.0,5,5.0,5,Stock OK
8705,1.0909090909090908,10,10.9,28,Stock OK
8706,1.1538461538461537,3,3.5,33,Stock OK
8708,1.0,10,10.0,11,Stock OK
8715,1.3333333333333333,3,4.0,43,Stock OK
9139,1.4166666666666667,6,8.5,6,Reorder Needed
9169,1.2666666666666666,6,7.6,23,Stock OK
9207,1.0,8,8.0,40,Stock OK
9208,1.0,7,7.0,2,Reorder Needed
9209,1.0,8,8.0,15,Stock OK
9743,1.0,7,7.0,23,Stock OK
9825,1.0,8,8.0,22,Stock OK
10073,1.0,5,5.0,9,Stock OK
10078,1.0,6,6.0,47,Stock OK
10091,1.0,3,3.0,40,Stock OK
10097,1.0,7,7.0,30,Stock OK
10106,1.0,10,10.0,16,Stock OK
10108,1.3333333333333333,7,9.3,46,Stock OK
10115,1.0,3,3.0,47,Stock OK
10877,1.0,8,8.0,30,Stock OK
11062,1.0,7,7.0,45,Stock OK
11076,1.0,9,9.0,9,Stock OK
11085,1.0,5,5.0,1,Reorder Needed
11558,1.0,6,6.0,38,Stock OK
11560,1.0,3,3.0,8,Stock OK
11566,1.0,6,6.0,18,Stock OK
11703,1.0,9,9.0,27,Stock OK
11709,1.0,7,7.0,18,Stock OK
11711,1.0,7,7.0,32,Stock OK
11719,1.0,10,10.0,49,Stock OK
13497,1.2,9,10.8,32,Stock OK
13500,1.0,3,3.0,48,Stock OK
13540,1.0,10,10.0,45,Stock OK
13552,1.125,5,5.6,36,Stock OK
15161,1.0,10,10.0,36,Stock OK
15163,1.0,4,4.0,21,Stock OK
15164,1.0,3,3.0,46,Stock OK
15166,1.125,4,4.5,32,Stock OK
15168,1.0,9,9.0,31,Stock OK
15173,1.0,8,8.0,37,Stock OK
15175,1.0,4,4.0,16,Stock OK
15176,1.0,5,5.0,46,Stock OK
15179,1.3333333333333333,10,13.3,46,Stock OK
15182,1.0,8,8.0,14,Stock OK
15183,1.5,10,15.0,24,Stock OK
15187,1.0,4,4.0,25,Stock OK
15191,1.0,10,10.0,46,Stock OK
15192,1.0,9,9.0,35,Stock OK
15193,1.25,8,10.0,17,Stock OK
15196,1.0,9,9.0,46,Stock OK
15198,1.0,4,4.0,42,Stock OK
15200,1.0,9,9.0,45,Stock OK
15202,1.0,5,5.0,4,Reorder Needed
15210,1.0,4,4.0,11,Stock OK
15211,1.0,4,4.0,47,Stock OK
15215,1.0,4,4.0,15,Stock OK
15216,1.0,3,3.0,30,Stock OK
15220,1.0,10,10.0,24,Stock OK
15700,1.2857142857142858,3,3.9,2,Reorder Needed
15701,1.2222222222222223,3,3.7,43,Stock OK
15703,1.25,5,6.2,34,Stock OK
15708,1.1666666666666667,8,9.3,23,Stock OK
15732,1.0,10,10.0,31,Stock OK
15736,1.0,9,9.0,37,Stock OK
15763,1.0,7,7.0,13,Stock OK
15765,1.0,4,4.0,33,Stock OK
15769,1.0,9,9.0,7,Reorder Needed
16198,1.2857142857142858,4,5.1,32,Stock OK
16199,1.0,5,5.0,7,Stock OK
16688,1.0,4,4.0,42,Stock OK
16690,1.0,3,3.0,38,Stock OK
16712,1.0,10,10.0,44,Stock OK
18081,1.6666666666666667,7,11.7,13,Stock OK
18622,1.375,6,8.2,24,Stock OK
19162,4.068965517241379,4,16.3,28,Stock OK
19379,1.0,9,9.0,32,Stock OK
20829,1.0,3,3.0,43,Stock OK
20830,1.0,6,6.0,18,Stock OK
20839,1.5,7,10.5,34,Stock OK
20842,1.0,6,6.0,48,Stock OK
20843,1.0,3,3.0,34,Stock OK
20893,1.0,10,10.0,38,Stock OK
20894,1.3333333333333333,10,13.3,1,Reorder Needed
20896,1.7142857142857142,8,13.7,43,Stock OK
20904,1.5555555555555556,10,15.6,50,Stock OK
20917,1.0,8,8.0,42,Stock OK
20921,1.0,6,6.0,31,Stock OK
21062,1.3333333333333333,5,6.7,50,Stock OK
23218,1.0,9,9.0,1,Reorder Needed
23219,1.2,9,10.8,16,Stock OK
23220,1.0,6,6.0,39,Stock OK
24330,1.4666666666666666,4,5.9,15,Stock OK
24331,1.4545454545454546,4,5.8,33,Stock OK
24332,1.0,10,10.0,23,Stock OK
24333,1.2,9,10.8,41,Stock OK
24334,1.0,9,9.0,34,Stock OK
24335,1.1666666666666667,8,9.3,17,Stock OK
24336,1.7272727272727273,5,8.6,25,Stock OK
24337,1.0,3,3.0,42,Stock OK
24338,1.0,4,4.0,6,Stock OK
24339,1.3333333333333333,9,12.0,31,Stock OK
24341,1.5,8,12.0,5,Reorder Needed
24342,1.2,7,8.4,40,Stock OK
24344,1.2,8,9.6,40,Stock OK
24345,1.4,4,5.6,30,Stock OK
24346,1.0,4,4.0,5,Stock OK
24359,1.0,8,8.0,12,Stock OK
24360,1.0,3,3.0,7,Stock OK
24363,1.2307692307692308,6,7.4,45,Stock OK
24368,1.4444444444444444,4,5.8,13,Stock OK
24370,1.0,8,8.0,49,Stock OK
24371,1.2,9,10.8,4,Reorder Needed
24372,1.2,8,9.6,50,Stock OK
24378,1.0,5,5.0,42,Stock OK
24380,1.25,6,7.5,3,Reorder Needed
24381,1.0,7,7.0,12,Stock OK
24384,1.0,3,3.0,1,Reorder Needed
24385,1.0,10,10.0,27,Stock OK
24386,1.3333333333333333,7,9.3,43,Stock OK
24387,1.25,6,7.5,50,Stock OK
24388,1.1111111111111112,6,6.7,13,Stock OK
24389,1.0,6,6.0,17,Stock OK
24390,1.0,7,7.0,8,Stock OK
24592,1.0,9,9.0,32,Stock OK
24595,1.5,6,9.0,20,Stock OK
24674,1.0,8,8.0,17,Stock OK
24675,1.1666666666666667,7,8.2,34,Stock OK
24676,1.0,10,10.0,35,Stock OK
24677,1.0,6,6.0,35,Stock OK
24678,1.0,8,8.0,38,Stock OK
24679,1.0,9,9.0,42,Stock OK
24687,1.0,5,5.0,24,Stock OK
